case_id,size
CP_00_03201305_00023,53
CP_00_03211349_00092,60
CP_00_03212033_00093,71
CP_00_03212104_00094,55
CP_00_03212157_00090,72
CP_00_03220132_00092,65
CP_00_03251018_00074,52
CP_00_03251612_00090,47
CP_00_03251622_00088,52
CP_00_03261418_00090,57
CP_00_03261441_00092,80
CP_00_03261547_00093,49
CP_00_03261613_00117,50
CP_00_04011734_00091,51
CP_00_04021547_00090,48
CP_00_04021717_00092,128
CP_00_04030135_00156,143
CP_00_04030215_00095,49
CP_00_04050349_00150,68
CP_00_04050456_00093,70
CP_00_04052047_00090,66
CP_00_04052120_00150,50
CP_00_04052347_00092,71
CP_00_04061635_00090,47
CP_00_04061732_00092,50
CP_00_04081504_00091,50
CP_00_04081659_00088,68
CP_00_04082315_00092,83
CP_00_04082324_00090,70
CP_00_04090326_00091,86
CP_00_04090628_00079,50
CP_00_04090749_00090,89
CP_00_04091303_00092,63
CP_00_04160036_00093,95
CP_00_04160310_00150,79
CP_00_04160542_00092,54
CP_00_04161351_00093,49
CP_00_04161927_00090,91
CP_00_04162204_00150,142
CP_00_04200332_00092,103
CP_00_04201841_00092,110
CP_00_04211142_00090,47
CP_00_04211840_00091,51
CP_00_04220418_00090,68
CP_00_04220800_00092,360
CP_00_04221115_00092,77
CP_00_04230633_00092,50
CP_00_04251358_00090,47
CP_00_04291818_00092,48
CP_00_05011444_00092,48
CP_00_05011708_00090,48
CP_00_05011919_00088,53
CP_00_05012057_00092,68
CP_00_05020011_00088,54
CP_00_05020452_00150,156
CP_00_05020547_00087,73
CP_00_05020612_00093,74
CP_00_05021123_00088,80
CP_00_05021157_00091,62
CP_00_05021706_00092,73
CP_00_05032028_00087,93
CP_00_05032254_00090,57
CP_00_05042225_00091,54
CP_00_05050206_00088,61
CP_00_05050402_00090,64
CP_00_05050633_00092,84
CP_00_05050924_00092,60
CP_00_05051227_00091,61
CP_00_05051454_00088,97
CP_00_05060049_00091,69
CP_00_05061442_00088,53
CP_00_05061810_00088,52
CP_00_05061855_00090,133
CP_00_05062209_00150,141
CP_00_05070002_00092,57
CP_00_05070148_00093,85
CP_00_05070307_00087,52
CP_00_05080207_00038,59
CP_00_05080523_00092,50
CP_00_05080632_00093,49
CP_00_05080739_00087,82
CP_00_05080839_00023,52
CP_00_05081208_00156,49
CP_00_05081309_00092,77
CP_00_05111517_00093,49
CP_00_05111557_00090,90
CP_00_05120252_00090,49
CP_00_05120953_00092,48
CP_00_05141232_00023,46
CP_00_05141235_00090,79
CP_00_05141413_00087,52
CP_00_05141440_00093,65
CP_00_05141612_00094,49
CP_00_05141645_00092,51
CP_00_05150031_00150,76
CP_00_05160716_00091,73
CP_00_05161332_00088,150
