case_id,min,max,length,unnormal_indices
CP_00_03201305_00023,-280.0,730.0,53,
CP_00_03211349_00092,-305.0,765.0,60,
CP_00_03212033_00093,-295.0,700.0,71,
CP_00_03212104_00094,-225.0,725.0,55,
CP_00_03212157_00090,-300.0,710.0,72,
CP_00_03220132_00092,-305.0,740.0,65,
CP_00_03251018_00074,-215.0,645.0,52,
CP_00_03251612_00090,-305.0,645.0,47,
CP_00_03251622_00088,-145.0,630.0,52,
CP_00_03261418_00090,-28665.0,630.0,57,
CP_00_03261441_00092,-28665.0,725.0,80,
CP_00_03261547_00093,-28665.0,640.0,49,
CP_00_03261613_00117,-28665.0,650.0,50,
CP_00_04011734_00091,-300.0,940.0,51,
CP_00_04021547_00090,-300.0,660.0,48,
CP_00_04021717_00092,-300.0,690.0,128,
CP_00_04030135_00156,-300.0,690.0,143,
CP_00_04030215_00095,-300.0,670.0,49,
CP_00_04050349_00150,-300.0,610.0,68,
CP_00_04050456_00093,-300.0,630.0,70,
CP_00_04052047_00090,-280.0,650.0,66,
CP_00_04052120_00150,-260.0,590.0,50,
CP_00_04052347_00092,-300.0,640.0,71,
CP_00_04061635_00090,-280.0,600.0,47,
CP_00_04061732_00092,-300.0,620.0,50,
CP_00_04081504_00091,-130.0,540.0,50,
CP_00_04081659_00088,-250.0,690.0,68,
CP_00_04082315_00092,-300.0,570.0,83,
CP_00_04082324_00090,-290.0,630.0,70,
CP_00_04090326_00091,-215.0,630.0,86,
CP_00_04090628_00079,-180.0,610.0,50,
CP_00_04090749_00090,-300.0,660.0,89,
CP_00_04091303_00092,-305.0,700.0,63,
CP_00_04160036_00093,-300.0,650.0,95,
CP_00_04160310_00150,-300.0,690.0,79,
CP_00_04160542_00092,-300.0,630.0,54,
CP_00_04161351_00093,-300.0,550.0,49,
CP_00_04161927_00090,-300.0,720.0,91,
CP_00_04162204_00150,-300.0,680.0,142,
CP_00_04200332_00092,-300.0,620.0,103,
CP_00_04201841_00092,-300.0,540.0,110,
CP_00_04211142_00090,-305.0,650.0,47,
CP_00_04211840_00091,-190.0,940.0,51,
CP_00_04220418_00090,-300.0,650.0,68,
CP_00_04220800_00092,-300.0,610.0,360,
CP_00_04221115_00092,-305.0,640.0,77,
CP_00_04230633_00092,-300.0,520.0,50,
CP_00_04251358_00090,-305.0,650.0,47,
CP_00_04291818_00092,-300.0,570.0,48,
CP_00_05011444_00092,-300.0,610.0,48,
CP_00_05011708_00090,-300.0,620.0,48,
CP_00_05011919_00088,-290.0,670.0,53,
CP_00_05012057_00092,-300.0,670.0,68,
CP_00_05020011_00088,-285.0,705.0,54,
CP_00_05020452_00150,-300.0,700.0,156,
CP_00_05020547_00087,-250.0,670.0,73,
CP_00_05020612_00093,-300.0,800.0,74,
CP_00_05021123_00088,-280.0,640.0,80,
CP_00_05021157_00091,-250.0,640.0,62,
CP_00_05021706_00092,-300.0,590.0,73,
CP_00_05032028_00087,-270.0,570.0,93,
CP_00_05032254_00090,-240.0,610.0,57,
CP_00_05042225_00091,-165.0,680.0,54,
CP_00_05050206_00088,-280.0,705.0,61,
CP_00_05050402_00090,-270.0,655.0,64,
CP_00_05050633_00092,-280.0,640.0,84,
CP_00_05050924_00092,-300.0,660.0,60,
CP_00_05051227_00091,-280.0,940.0,61,
CP_00_05051454_00088,-280.0,660.0,97,
CP_00_05060049_00091,-200.0,940.0,69,
CP_00_05061442_00088,-300.0,690.0,53,
CP_00_05061810_00088,-250.0,650.0,52,
CP_00_05061855_00090,-300.0,680.0,133,
CP_00_05062209_00150,-290.0,630.0,141,
CP_00_05070002_00092,-290.0,610.0,57,
CP_00_05070148_00093,-280.0,630.0,85,
CP_00_05070307_00087,-270.0,640.0,52,
CP_00_05080207_00038,-275.0,535.0,59,
CP_00_05080523_00092,-300.0,570.0,50,
CP_00_05080632_00093,-300.0,520.0,49,
CP_00_05080739_00087,-265.0,665.0,82,
CP_00_05080839_00023,-305.0,1009.0,52,
CP_00_05081208_00156,-205.0,610.0,49,
CP_00_05081309_00092,-305.0,812.0,77,
CP_00_05111517_00093,-290.0,590.0,49,
CP_00_05111557_00090,-300.0,660.0,90,
CP_00_05120252_00090,-300.0,650.0,49,
CP_00_05120953_00092,-300.0,540.0,48,
