case_id,min,max,length,unnormal_indices
CP_00_03201305_00023,0.0,213.0,53,
CP_00_03211349_00092,0.0,189.0,60,
CP_00_03212033_00093,0.0,227.0,71,
CP_00_03212104_00094,0.0,233.0,55,
CP_00_03212157_00090,0.0,212.0,72,
CP_00_03220132_00092,0.0,210.0,65,
CP_00_03251018_00074,0.0,72.0,52,
CP_00_03251612_00090,0.0,110.0,47,
CP_00_03251622_00088,0.0,110.0,52,
CP_00_03261418_00090,0.0,156.0,57,
CP_00_03261441_00092,0.0,161.0,80,
CP_00_03261547_00093,0.0,172.0,49,
CP_00_03261613_00117,0.0,182.0,50,
CP_00_04011734_00091,0.0,96.0,51,
CP_00_04021547_00090,0.0,183.0,48,
CP_00_04021717_00092,0.0,201.0,128,
CP_00_04030135_00156,0.0,229.0,143,
CP_00_04030215_00095,0.0,134.0,49,
CP_00_04050349_00150,0.0,204.0,68,
CP_00_04050456_00093,0.0,205.0,70,
CP_00_04052047_00090,0.0,109.0,66,
CP_00_04052120_00150,0.0,112.0,50,
CP_00_04052347_00092,0.0,200.0,71,
CP_00_04061635_00090,0.0,161.0,47,
CP_00_04061732_00092,0.0,82.0,50,
CP_00_04081504_00091,0.0,89.0,50,
CP_00_04081659_00088,0.0,106.0,68,
CP_00_04082315_00092,0.0,135.0,83,
CP_00_04082324_00090,0.0,172.0,70,
CP_00_04090326_00091,0.0,124.0,86,
CP_00_04090628_00079,0.0,114.0,50,
CP_00_04090749_00090,0.0,288.0,89,
CP_00_04091303_00092,0.0,202.0,63,
CP_00_04160036_00093,0.0,145.0,95,
CP_00_04160310_00150,0.0,200.0,79,
CP_00_04160542_00092,0.0,187.0,54,
CP_00_04161351_00093,0.0,95.0,49,
CP_00_04161927_00090,0.0,222.0,91,
CP_00_04162204_00150,0.0,212.0,142,
CP_00_04200332_00092,0.0,92.0,103,
CP_00_04201841_00092,0.0,130.0,110,
CP_00_04211142_00090,0.0,106.0,47,
CP_00_04211840_00091,0.0,207.0,51,
CP_00_04220418_00090,0.0,139.0,68,
CP_00_04220800_00092,0.0,153.0,360,
CP_00_04221115_00092,0.0,140.0,77,
CP_00_04230633_00092,0.0,73.0,50,
CP_00_04251358_00090,0.0,172.0,47,
CP_00_04291818_00092,0.0,110.0,48,
CP_00_05011444_00092,0.0,161.0,48,
CP_00_05011708_00090,0.0,136.0,48,
CP_00_05011919_00088,0.0,144.0,53,
CP_00_05012057_00092,0.0,166.0,68,
CP_00_05020011_00088,0.0,114.0,54,
CP_00_05020452_00150,0.0,196.0,156,
CP_00_05020547_00087,0.0,139.0,73,
CP_00_05020612_00093,0.0,142.0,74,
CP_00_05021123_00088,0.0,162.0,80,
CP_00_05021157_00091,0.0,152.0,62,
CP_00_05021706_00092,0.0,187.0,73,
CP_00_05032028_00087,0.0,130.0,93,
CP_00_05032254_00090,0.0,171.0,57,
CP_00_05042225_00091,0.0,155.0,54,
CP_00_05050206_00088,0.0,147.0,61,
CP_00_05050402_00090,0.0,187.0,64,
CP_00_05050633_00092,0.0,237.0,84,
CP_00_05050924_00092,0.0,115.0,60,
CP_00_05051227_00091,0.0,82.0,61,
CP_00_05051454_00088,0.0,110.0,97,
CP_00_05060049_00091,0.0,128.0,69,
CP_00_05061442_00088,0.0,143.0,53,
CP_00_05061810_00088,0.0,81.0,52,
CP_00_05061855_00090,0.0,190.0,133,
CP_00_05062209_00150,0.0,190.0,141,
CP_00_05070002_00092,0.0,181.0,57,
CP_00_05070148_00093,0.0,178.0,85,
CP_00_05070307_00087,0.0,113.0,52,
CP_00_05080207_00038,0.0,119.0,59,
CP_00_05080523_00092,0.0,78.0,50,
CP_00_05080632_00093,0.0,80.0,49,
CP_00_05080739_00087,0.0,125.0,82,
CP_00_05080839_00023,0.0,142.0,52,
CP_00_05081208_00156,0.0,174.0,49,
CP_00_05081309_00092,0.0,235.0,77,
CP_00_05111517_00093,0.0,121.0,49,
CP_00_05111557_00090,0.0,151.0,90,
CP_00_05120252_00090,0.0,174.0,49,
CP_00_05120953_00092,0.0,84.0,48,
CP_00_05141232_00023,0.0,95.0,46,
CP_00_05141235_00090,0.0,127.0,79,
CP_00_05141413_00087,0.0,122.0,52,
CP_00_05141440_00093,0.0,157.0,65,
CP_00_05141612_00094,0.0,105.0,49,
CP_00_05141645_00092,0.0,97.0,51,
CP_00_05150031_00150,0.0,192.0,76,
CP_00_05160716_00091,0.0,116.0,73,
CP_00_05161332_00088,0.0,181.0,150,
CP_00_05161441_00091,0.0,220.0,173,
CP_00_05162036_00090,0.0,220.0,119,
CP_00_05171949_00087,0.0,145.0,66,
CP_00_05181258_00087,0.0,235.0,78,
CP_00_05181259_00150,0.0,237.0,51,
CP_00_05181354_00093,0.0,259.0,71,
CP_00_05181446_00092,0.0,234.0,48,
CP_00_05181458_00097,0.0,217.0,50,
CP_00_05182100_00150,0.0,252.0,66,
CP_00_05200922_00092,0.0,115.0,49,
CP_00_05201256_00087,0.0,125.0,52,
CP_00_05201658_00092,0.0,191.0,48,
CP_00_05220657_00090,0.0,123.0,48,
CP_00_05230512_00150,0.0,96.0,117,
CP_00_05230606_00092,0.0,86.0,119,
CP_00_05230631_00087,0.0,87.0,51,
CP_00_05230920_00156,0.0,103.0,48,
CP_00_05241534_00092,0.0,171.0,66,
CP_00_05250721_00091,0.0,217.0,106,
CP_00_05250755_00087,0.0,119.0,52,
CP_00_05250835_00117,0.0,287.0,94,
CP_00_05251026_00093,0.0,152.0,141,
CP_00_05251412_00093,0.0,271.0,129,
CP_00_05251444_00090,0.0,293.0,171,
CP_00_05251526_00074,0.0,251.0,46,
CP_00_05251546_00087,0.0,246.0,72,
CP_00_05260158_00093,0.0,130.0,49,
CP_00_05260607_00092,0.0,193.0,188,
CP_00_05260841_00093,0.0,107.0,49,
CP_00_05261547_00090,0.0,158.0,47,
CP_00_05280434_00092,0.0,108.0,98,
CP_00_05311708_00093,0.0,134.0,49,
CP_00_06010143_00092,0.0,209.0,150,
CP_00_06010331_00090,0.0,169.0,69,
CP_00_06010426_00092,0.0,228.0,49,
CP_00_06010445_00097,0.0,187.0,64,
CP_00_06010648_00150,0.0,179.0,140,
CP_00_06022148_00093,0.0,180.0,49,
CP_00_06030910_00092,0.0,94.0,91,
CP_00_06041908_00150,0.0,67.0,51,
CP_00_06050243_00090,0.0,84.0,47,
CP_00_06050414_00093,0.0,96.0,85,
CP_00_06050748_00092,0.0,250.0,68,
CP_00_06050804_00023,0.0,220.0,76,
CP_00_06051125_00087,0.0,218.0,78,
CP_00_06051256_00090,0.0,185.0,73,
CP_00_06051829_00090,0.0,114.0,49,
CP_00_06052128_00087,0.0,209.0,84,
CP_00_06052156_00090,0.0,149.0,48,
CP_00_06052310_00088,0.0,211.0,107,
CP_00_06060503_00090,0.0,281.0,59,
